,5,count,cited,3
144,Plastic and Reconstructive Surgery,4133,1739,8256
145,MMW - Fortschritte der Medizin,4128,91,113
146,Microscopy and Microanalysis,4127,783,1880
147,Applied Energy,4113,3901,51322
148,World Journal of Gastroenterology,4113,3361,20661
149,Desalination and Water Treatment,4106,2173,4954
150,Nucleic Acids Research,4084,3545,48488
151,Japanese Journal of Applied Physics,4084,2466,7839
152,Review of Scientific Instruments,4080,2675,9602
153,Journal of Applied Polymer Science,4051,2663,8579
154,Neurocomputing,4049,3383,21613
155,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",4041,681,1229
156,Geophysical Research Letters,4040,3510,25906
157,European Neuropsychopharmacology,4031,671,4564
158,Physics of Plasmas,4028,2996,13890
159,Frontiers in Plant Science,4020,3099,17175
160,ACS Nano,4004,3845,93745
161,BMC Public Health,3974,2986,14257
162,ECS Transactions,3966,1276,2363
163,Journal of Agricultural and Food Chemistry,3934,3498,22888
164,Advanced Materials,3910,3109,91940
165,Materials Science and Engineering: A,3895,3428,21553
166,Tumor Biology,3892,3026,13153
167,Journal of Vascular Surgery,3888,1246,8052
168,Clinical Neurophysiology,3888,1030,6159
169,SpringerPlus,3875,1843,4948
170,Chemosphere,3838,3418,25356
171,Applied Thermal Engineering,3836,3350,20617
172,Zeitschrift für Gastroenterologie,3817,136,376
173,Genome Announcements,3782,2167,5676
174,Fuel,3756,3472,31377
175,The Journal of Physical Chemistry A,3743,3140,18810
176,Oncology Letters,3722,670,842
177,Prace Naukowe Uniwersytetu Ekonomicznego we Wrocławiu,3694,7,7
178,Journal of Neuroscience,3694,3448,38252
179,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,3690,3297,21518
180,BMC Genomics,3677,3106,22287
181,The Journal of Heart and Lung Transplantation,3675,833,6314
182,Asian Pacific Journal of Cancer Prevention,3644,2699,10706
183,The Annals of Thoracic Surgery,3626,2098,9869
184,Applied Mathematics and Computation,3590,2190,7394
185,Nano Letters,3589,3456,78274
186,Chinese Physics B,3519,1590,3861
187,Materials & Design,3517,3041,21689
188,New Scientist,3506,144,184
189,Blood,3499,2785,38950
190,Carbohydrate Polymers,3497,3291,31343
191,Neurology,3487,2095,19687
192,The Journal of Immunology,3480,2995,24083
193,Acta Crystallographica Section A Foundations and Advances,3475,199,2051
194,Procedia CIRP,3458,1811,5220
195,Journal of the Neurological Sciences,3455,1424,5830
196,Journal of the American College of Surgeons,3438,814,5784
197,International Journal of Surgery,3424,873,3940
198,CrystEngComm,3418,3030,22281
199,IEEE Transactions on Magnetics,3383,2185,7774
200,Osteoarthritis and Cartilage,3375,930,6175
201,Bioorganic & Medicinal Chemistry Letters,3375,2791,13634
202,Journal of Minimally Invasive Gynecology,3371,582,2697
203,Frontiers in Bioengineering and Biotechnology,3368,316,1657
204,Tidsskrift for Den norske legeforening,3365,534,1019
205,Gut,3361,840,9532
206,Drug and Alcohol Dependence,3355,1210,7309
207,Renewable and Sustainable Energy Reviews,3349,3202,49250
208,International Journal of Heat and Mass Transfer,3337,2810,20054
209,Physical Review C,3323,2773,18694
