1088-467X , 268 , 64 , 81 , 1.27 , 3
2197-425X , 1276 , 1209 , 311 , 0.26 , 6
0236-8722 , 134 , 134 , 439 , 3.28 , 9
1755-7682 , 1131 , 440 , 745 , 1.69 , 11
1746-4358 , 284 , 119 , 807 , 6.78 , 16
1848-2368 , 78 , 76 , 14 , 0.18 , 2
1475-9276 , 1006 , 532 , 3464 , 6.51 , 22
2277-3886 , 160 , 133 , 170 , 1.28 , 6
2008-6695 , 121 , 105 , 135 , 1.29 , 5
2169-7590 , 28 , 24 , 2 , 0.08 , 1
2327-7645 , 40 , 27 , 8 , 0.3 , 1
2314-5773 , 7 , 6 , 9 , 1.5 , 2
1734-4492 , 280 , 200 , 76 , 0.38 , 3
2010-362X , 382 , 340 , 286 , 0.84 , 7
2029-2074 , 36 , 28 , 3 , 0.11 , 1
2325-7415 , 27 , 23 , 10 , 0.43 , 2
1479-5868 , 1368 , 766 , 13884 , 18.13 , 49
2329-4884 , 166 , 105 , 311 , 2.96 , 9
2314-6885 , 3 , 2 , 5 , 2.5 , 2
1927-1255 , 99 , 84 , 4 , 0.05 , 1
1793-8163 , 942 , 627 , 473 , 0.75 , 7
2324-7134 , 40 , 32 , 6 , 0.19 , 1
1793-8201 , 1088 , 725 , 705 , 0.97 , 9
2231-2803 , 1124 , 792 , 140 , 0.18 , 4
2196-8802 , 53 , 25 , 3 , 0.12 , 1
2010-3654 , 398 , 368 , 80 , 0.22 , 4
1086-4415 , 377 , 112 , 1620 , 14.46 , 20
0867-6747 , 269 , 201 , 214 , 1.06 , 6
2314-8357 , 4 , 3 , 2 , 0.67 , 1
2304-3679 , 46 , 40 , 41 , 1.02 , 3
1847-9790 , 223 , 180 , 266 , 1.48 , 7
2326-5922 , 49 , 44 , 6 , 0.14 , 1
1476-072X , 733 , 274 , 2856 , 10.42 , 24
2322-5939 , 565 , 409 , 893 , 2.18 , 11
2010-3719 , 641 , 586 , 168 , 0.29 , 3
2201-6015 , 1 , 1 , 0 , 0.0 , 0
2201-6023 , 1 , 1 , 0 , 0.0 , 0
1301-4749 , 48 , 48 , 1 , 0.02 , 1
1301-8051 , 48 , 48 , 1 , 0.02 , 1
2226-4523 , 52 , 37 , 31 , 0.84 , 3
1793-8198 , 291 , 290 , 94 , 0.32 , 4
2314-8225 , 6 , 5 , 6 , 1.2 , 2
2230-8598 , 481 , 417 , 131 , 0.31 , 3
1752-4458 , 372 , 178 , 932 , 5.24 , 14
2314-680X , 36 , 30 , 39 , 1.3 , 2
2324-6944 , 54 , 32 , 9 , 0.28 , 2
1834-0806 , 262 , 171 , 214 , 1.25 , 7
2092-6782 , 599 , 386 , 590 , 1.53 , 8
1833-4105 , 293 , 119 , 119 , 1.0 , 4
2348-3962 , 75 , 74 , 0 , 0.0 , 0
0891-1916 , 527 , 115 , 175 , 1.52 , 7
0020-7659 , 1004 , 109 , 118 , 1.08 , 4
1725-0463 , 2 , 2 , 0 , 0.0 , 0
2314-6850 , 12 , 11 , 13 , 1.18 , 2
2230-7095 , 47 , 47 , 28 , 0.6 , 3
2314-6869 , 9 , 8 , 4 , 0.5 , 1
2010-023X , 477 , 405 , 167 , 0.41 , 4
2330-4456 , 180 , 131 , 35 , 0.27 , 2
2062-0810 , 136 , 110 , 35 , 0.32 , 3
1641-4233 , 22 , 21 , 2 , 0.1 , 1
2192-4279 , 128 , 99 , 0 , 0.0 , 0
1591-0199 , 2131 , 607 , 774 , 1.28 , 8
2041-2223 , 127 , 111 , 715 , 6.44 , 14
2046-0481 , 259 , 132 , 480 , 3.64 , 12
1303-2860 , 276 , 151 , 9 , 0.06 , 1
2154-0993 , 99 , 53 , 26 , 0.49 , 2
2045-4015 , 304 , 207 , 525 , 2.54 , 9
1304-8503 , 328 , 264 , 17 , 0.06 , 2
1824-7288 , 968 , 682 , 1954 , 2.87 , 16
0973-5984 , 208 , 63 , 11 , 0.17 , 2
1344-6304 , 658 , 427 , 1418 , 3.32 , 11
0914-9694 , 133 , 87 , 2 , 0.02 , 1
2187-0365 , 184 , 131 , 10 , 0.08 , 2
0389-1305 , 240 , 0 , 0 , nan , 0
1884-3204 , 81 , 34 , 0 , 0.0 , 0
0021-5597 , 101 , 64 , 1 , 0.02 , 1
0994-7949 , 176 , 133 , 10 , 0.08 , 1
2051-1426 , 1429 , 1284 , 1615 , 1.26 , 19
1733-3911 , 41 , 38 , 1 , 0.03 , 1
1930-1197 , 163 , 70 , 16 , 0.23 , 2
2155-6105 , 362 , 286 , 179 , 0.63 , 6
1932-202X , 293 , 110 , 276 , 2.51 , 7
0065-4140 , 947 , 139 , 0 , 0.0 , 0
2141-2340 , 57 , 45 , 24 , 0.53 , 3
1391-9318 , 192 , 90 , 18 , 0.2 , 2
1450-8109 , 375 , 127 , 35 , 0.28 , 3
1598-5504 , 467 , 325 , 93 , 0.29 , 4
2155-6113 , 714 , 529 , 378 , 0.71 , 7
2196-7954 , 158 , 114 , 9 , 0.08 , 2
2314-694X , 9 , 8 , 5 , 0.63 , 1
2049-1891 , 333 , 214 , 1159 , 5.42 , 15
1598-9429 , 1040 , 197 , 236 , 1.2 , 6
2299-4831 , 128 , 95 , 98 , 1.03 , 3
1336-9180 , 65 , 55 , 19 , 0.35 , 2
1598-1142 , 169 , 142 , 16 , 0.11 , 2
2347-7970 , 91 , 55 , 10 , 0.18 , 1
1754-1611 , 227 , 126 , 1251 , 9.93 , 16
2041-1480 , 339 , 237 , 1489 , 6.28 , 17
1749-7221 , 169 , 157 , 485 , 3.09 , 9
2291-1995 , 54 , 49 , 15 , 0.31 , 2
1992-271X , 58 , 46 , 2 , 0.04 , 1
1749-8090 , 2016 , 1438 , 3299 , 2.29 , 18
2329-9517 , 210 , 140 , 13 , 0.09 , 2
2314-8411 , 2 , 1 , 0 , 0.0 , 0
1758-2946 , 737 , 516 , 4725 , 9.16 , 25
1740-3391 , 132 , 40 , 235 , 5.88 , 10
2300-5130 , 735 , 429 , 17 , 0.04 , 2
1975-6151 , 79 , 78 , 27 , 0.35 , 2
2155-9554 , 380 , 265 , 49 , 0.18 , 3
2155-9570 , 681 , 484 , 165 , 0.34 , 6
2043-9113 , 126 , 126 , 785 , 6.23 , 14
1927-1271 , 134 , 103 , 7 , 0.07 , 1
2192-113X , 122 , 93 , 476 , 5.12 , 11
1940-1639 , 955 , 245 , 163 , 0.67 , 5
1796-2021 , 813 , 480 , 977 , 2.04 , 13
2314-6540 , 15 , 14 , 17 , 1.21 , 2
2194-3990 , 18 , 17 , 26 , 1.53 , 3
2146-4189 , 254 , 132 , 3 , 0.02 , 1
2314-6990 , 7 , 6 , 2 , 0.33 , 1
1873-9946 , 6970 , 4208 , 11775 , 2.8 , 38
1873-9954 , 725 , 0 , 0 , nan , 0
1927-1298 , 131 , 107 , 2 , 0.02 , 1
1203-4754 , 1412 , 380 , 615 , 1.62 , 9
1693-9697 , 53 , 43 , 2 , 0.05 , 1
2251-6581 , 378 , 340 , 1380 , 4.06 , 15
2155-6156 , 899 , 673 , 331 , 0.49 , 6
0012-8317 , 234 , 18 , 18 , 1.0 , 3
1026-1613 , 35 , 30 , 22 , 0.73 , 2
2301-3567 , 437 , 343 , 101 , 0.29 , 4
1335-3632 , 237 , 178 , 241 , 1.35 , 6
